branch_n,bus1,bus2,p1,q1,p2,q2
1.0,101.0,102.0,7.84,-26.19,-7.84,-24.32
2.0,101.0,103.0,-0.58,14.65,0.73,-20.08
3.0,101.0,105.0,52.74,0.22,-52.18,-0.55
4.0,102.0,104.0,34.94,13.72,-34.5,-15.65
5.0,102.0,106.0,43.9,-4.74,-43.02,2.5
6.0,103.0,109.0,3.67,-15.56,-3.61,12.48
7.0,104.0,109.0,-39.5,0.65,39.91,-2.0
8.0,105.0,110.0,-18.82,-13.45,18.93,11.25
9.0,106.0,110.0,-92.98,-137.09,94.12,-124.54
10.0,107.0,108.0,168.71,19.75,-164.52,-5.58
11.0,107.0,203.0,61.29,4.77,-59.84,-3.92
12.0,108.0,109.0,-10.6,-5.59,10.65,1.09
13.0,108.0,110.0,4.11,-23.83,-3.91,19.79
14.0,111.0,113.0,-156.55,3.57,157.95,-3.01
15.0,111.0,114.0,-72.08,-36.87,72.37,29.92
16.0,112.0,113.0,-94.16,-23.44,94.69,17.14
17.0,112.0,123.0,-204.74,2.32,209.6,15.2
18.0,113.0,123.0,-179.7,8.08,183.05,-1.36
19.0,113.0,215.0,-117.94,-0.21,119.24,-7.06
20.0,114.0,116.0,-266.37,34.31,269.7,-4.05
21.0,115.0,116.0,14.59,-24.01,-14.58,20.19
22.0,115.0,121.0,-177.03,7.87,178.77,-4.94
23.0,115.0,121.0,-177.03,7.87,178.77,-4.94
24.0,115.0,124.0,187.47,36.27,-185.09,-30.13
25.0,116.0,117.0,-240.85,22.84,242.46,-14.93
26.0,116.0,119.0,40.73,21.01,-40.67,-25.87
27.0,117.0,118.0,-111.1,2.55,111.33,-4.27
28.0,117.0,122.0,-131.35,12.39,133.63,-19.65
29.0,118.0,121.0,-44.66,2.36,44.72,-7.95
30.0,118.0,121.0,-44.66,2.36,44.72,-7.95
31.0,119.0,120.0,-70.17,-5.56,70.39,-1.62
32.0,119.0,120.0,-70.17,-5.56,70.39,-1.62
33.0,120.0,123.0,-134.39,-11.38,134.89,10.0
34.0,120.0,123.0,-134.39,-11.38,134.89,10.0
35.0,121.0,122.0,-164.1,22.63,166.37,-21.11
36.0,123.0,217.0,7.57,-8.73,-7.56,-8.31
37.0,201.0,202.0,5.23,-26.53,-5.23,-24.29
