bus_n,v_mag,v_ang,p_gen,q_gen,p_load,q_load,λ_p,λ_q
101.0,1.047,-8.575,168.0,10.21,108.0,22.0,37.993,
102.0,1.047,-8.635,168.0,5.14,97.0,20.0,38.008,
103.0,1.011,-7.98,,,180.0,37.0,38.083,0.514
104.0,1.017,-10.745,,,74.0,15.0,38.938,0.265
105.0,1.035,-10.928,,,71.0,14.0,38.766,0.047
106.0,1.032,-13.158,,,136.0,28.0,39.401,-0.034
107.0,1.05,-3.989,355.0,49.51,125.0,25.0,36.258,
108.0,1.017,-9.343,,,171.0,35.0,38.279,0.322
109.0,1.027,-8.46,,,175.0,36.0,38.194,0.183
110.0,1.05,-10.203,,,195.0,40.0,38.406,-0.132
111.0,1.027,-4.083,,,,,38.166,0.072
112.0,1.02,-2.396,,,,,38.056,0.123
113.0,1.035,0.0,220.0,76.0,265.0,54.0,37.615,0.072
114.0,1.044,-2.552,0.0,103.32,194.0,39.0,37.833,
115.0,1.043,5.977,165.0,92.0,317.0,64.0,36.759,0.074
116.0,1.046,5.824,155.0,80.0,100.0,20.0,36.787,0.037
117.0,1.048,9.138,,,,,36.282,0.021
118.0,1.05,9.952,355.0,68.43,333.0,68.0,36.125,
119.0,1.04,5.368,,,181.0,37.0,36.847,0.066
120.0,1.044,6.847,,,128.0,26.0,36.585,0.039
121.0,1.05,10.564,400.0,-21.87,,,36.03,
122.0,1.05,16.516,300.0,-40.76,,,35.048,
123.0,1.05,8.378,670.0,25.07,,,36.302,
124.0,1.013,0.844,,,,,37.711,0.375
201.0,1.05,-12.611,142.0,21.74,108.0,22.0,38.726,
202.0,1.05,-12.651,168.0,14.28,97.0,20.0,38.733,
203.0,1.019,-9.121,,,180.0,37.0,37.994,0.554
204.0,1.015,-14.429,,,74.0,15.0,39.644,0.486
205.0,1.033,-14.929,,,71.0,14.0,39.522,0.322
206.0,1.028,-17.155,,,136.0,28.0,40.216,0.406
207.0,0.97,-22.392,110.0,38.0,125.0,25.0,43.024,1.226
208.0,0.964,-21.696,,,171.0,35.0,42.776,1.447
209.0,1.02,-11.846,,,175.0,36.0,38.816,0.575
210.0,1.043,-14.163,,,195.0,40.0,39.138,0.418
211.0,1.028,-5.95,,,,,38.589,0.263
212.0,1.018,-4.164,,,,,38.481,0.375
213.0,1.05,-0.39,465.0,154.25,265.0,54.0,37.701,
214.0,1.05,-4.129,0.0,125.28,194.0,39.0,38.111,
215.0,1.044,4.742,260.0,86.0,317.0,64.0,36.871,0.081
216.0,1.047,4.679,155.0,80.0,100.0,20.0,36.918,0.041
217.0,1.049,8.086,,,,,36.381,0.015
218.0,1.05,8.906,355.0,60.3,333.0,68.0,36.221,
219.0,1.04,4.449,,,181.0,37.0,36.962,0.07
220.0,1.044,6.123,,,128.0,26.0,36.687,0.041
221.0,1.05,9.516,296.97,-7.52,,,36.124,
222.0,1.05,15.467,300.0,-41.84,,,35.141,
223.0,1.05,7.761,726.0,0.68,,,36.395,
224.0,1.017,-0.386,,,,,37.747,0.376
301.0,1.05,-23.504,104.0,48.97,108.0,22.0,41.136,
302.0,1.05,-23.57,126.0,34.3,97.0,20.0,41.155,
303.0,0.998,-17.733,,,180.0,37.0,39.52,1.271
304.0,1.007,-23.757,,,74.0,15.0,41.613,0.819
305.0,1.028,-24.499,,,71.0,14.0,41.557,0.585
306.0,1.02,-26.02,,,136.0,28.0,42.062,0.835
307.0,0.957,-30.662,110.0,38.0,125.0,25.0,44.973,1.882
308.0,0.951,-29.947,,,171.0,35.0,44.694,2.129
309.0,1.007,-19.748,,,175.0,36.0,40.216,1.131
310.0,1.032,-22.314,,,195.0,40.0,40.655,0.943
311.0,1.018,-12.834,,,,,39.846,0.633
312.0,1.003,-11.045,,,,,39.743,0.88
313.0,1.035,-7.624,355.0,150.0,265.0,54.0,38.96,0.51
314.0,1.05,-9.655,0.0,166.63,194.0,39.0,39.035,
315.0,1.042,1.503,190.0,128.0,317.0,64.0,37.464,0.171
316.0,1.045,1.162,155.0,80.0,100.0,20.0,37.537,0.107
317.0,1.047,5.119,,,,,36.906,0.051
318.0,1.05,6.217,355.0,63.12,333.0,68.0,36.684,
319.0,1.039,0.85,,,181.0,37.0,37.55,0.11
320.0,1.044,2.456,,,128.0,26.0,37.24,0.056
321.0,1.05,6.905,355.0,-3.34,,,36.578,
322.0,1.05,12.932,310.0,-39.98,,,35.568,
323.0,1.05,4.057,710.0,74.82,,,36.928,
324.0,0.999,-5.501,,,,,38.831,0.831
325.0,1.049,4.598,,,,,36.932,-0.005
