bus_n,v_mag,v_ang,p_load,q_load,p_gen,q_gen
1.0,1.0075972829608522,-36.571686868454634,378.4,98.5,,
2.0,1.0317339999999997,-8.434840465895991,0.0,0.0,-81.4,6.6727866473345685
3.0,1.0178419821153037,-21.085326025325774,151.0,48.8,,
4.0,1.0205010397889613,-6.892408806882031,171.41,23.4,,
5.0,0.9899422579219013,-48.513002100150494,45.95,14.0,,
6.0,1.0384760000000002,-41.380133011564325,0.0,0.0,701.0,221.30520364460125
7.0,0.9691743050071893,-33.31977658303694,31.03,10.3,,
8.0,1.023005,-17.185623171265842,0.0,0.0,499.7,2.646569911251788
9.0,1.0326580896281532,-0.05812618164491439,14.3,2.0,,
10.0,1.0333521638901577,-23.738460755334415,134.0,24.7,,
11.0,0.9651054273288867,-28.185045113011675,0.0,0.0,,
12.0,1.034508260024721,-23.12829322215532,-6.11,2.0,,
13.0,1.0138658725790868,-47.307602263340954,-22.74,-8.32,,
14.0,1.1414694212233205,-18.291347152342293,13.5,14.8,,
15.0,1.0216498192631467,-48.54922313546387,59.67,26.7,,
16.0,1.032430683169597,9.656440852756196,30.6,4.3,,
17.0,1.0105635873783594,7.67536504499349,67.68,12.1,,
18.0,1.026728,19.069900461222012,0.0,0.0,467.5,219.65428784336234
19.0,1.0051097318884163,-35.577440246081665,25.33,7.5,,
20.0,1.0245166417888043,10.26893713721149,1.4,0.2,,
21.0,1.031340933106028,-21.345853766491558,161.2,39.3,,
22.0,1.0317131921162777,-17.98189800265468,0.0,-0.0,,
23.0,1.0253607171231478,-23.44996420035471,19.62,7.1,,
24.0,0.9610654451624683,-29.642700751245446,17.22,5.7,,
25.0,1.028526,13.919507338033815,0.0,0.0,319.6,164.6226213918901
26.0,1.0296124776385116,-3.1857880087597126,167.3,54.8,,
27.0,1.085496281841454,15.049358113495057,-0.0,-0.0,,
28.0,1.0049378001629694,-28.62149591006663,0.0,0.0,,
29.0,1.0047994865626906,-13.740436343402738,152.9,49.4,,
30.0,1.0235310749628657,-26.463975092354723,-0.0,0.0,,
31.0,0.9054805419229754,-32.223191781869055,69.68,43.2,,
32.0,1.003223,-42.67657892455338,0.0,0.0,8.0,36.615885767408706
33.0,1.026534,-38.2998129497215,0.0,0.0,5.3,-0.32460719136463956
34.0,1.028469557880457,-22.061024055411476,13.52,4.9,,
35.0,1.0264730759380327,-33.87228396934458,10.51,3.5,,
36.0,1.0454882641554053,-18.80579327811125,-0.0,-0.0,,
37.0,0.9721972928149625,-27.237759839431327,9.21,2.6,,
38.0,1.022836058654627,27.51242166862414,42.75,12.8,,
39.0,1.003511,-37.972882412116284,0.0,0.0,34.3,5.1251432903898
40.0,0.9990724943094592,-28.82771401566594,16.02,4.54,,
41.0,1.0086256200635038,-5.23575255867523,27.9,4.0,,
42.0,1.0423924100848294,-48.83667793848504,20.82,7.9,,
43.0,1.0287390486819163,-12.313896070647326,12.6,1.8,,
44.0,1.0407411525567305,-21.61516653110964,-0.0,0.0,,
45.0,1.048063005396213,-22.685875833984174,10.11,3.7,,
46.0,0.9584648241585457,-27.053751764571754,10.01,2.7,,
47.0,0.9858563819225497,-25.554273368763536,6.31,0.0,,
48.0,1.045487737586808,-23.68350412463676,2.9,0.9,,
49.0,1.020323,-35.27122645239834,0.0,0.0,309.2,84.98458813252088
50.0,1.0250081476632413,-0.867660829736007,48.8,6.9,,
51.0,1.006665,-47.851684586811984,0.0,0.0,-144.5,3.9706567673154938
52.0,1.017719049824379,0.9569102905842471,127.6,31.8,,
53.0,1.053432329471335,-9.059797547808547,48.65,16.1,,
54.0,1.0237786191787686,-34.665850695590755,110.5,-26.8,,
55.0,0.9969345401309321,10.659857284310188,0.0,-0.0,,
56.0,1.0106220916926416,-15.920860254019624,140.0,79.7,,
57.0,1.0065328102910178,-6.100556434675246,21.6,3.0,,
58.0,1.0274911576903019,-18.426404907030342,0.0,0.0,,
59.0,1.026751925337873,-23.72686415112434,119.2,20.7,,
60.0,1.0243576540596042,-17.63127687866757,0.24,-1.66,,
61.0,1.0927466821264749,47.0498279659581,-0.0,0.0,,
62.0,0.9701709841490289,-25.438382041588568,-0.0,0.0,,
63.0,1.0190395035807904,6.462003105656347,187.9,110.2,,
64.0,1.0582002387338918,-21.09012635795447,14.92,5.5,,
65.0,0.9201901702941031,-30.726009101001264,-18.52,6.1,,
66.0,1.0759232903299607,-16.711434609326556,4.61,1.7,,
67.0,1.0768653726506634,-20.3684799710086,0.0,0.0,,
68.0,0.9322619983707939,-30.203517971842395,10.81,5.1,,
69.0,1.0168850760276942,-0.2563647610943481,62.87,20.5,,
70.0,1.0218418266865397,-3.6850852694438494,0.0,0.0,,
71.0,1.0456659165037758,4.057218573022111,126.3,42.4,,
72.0,1.007414275703818,-40.8167638905786,6.91,-4.6,,
73.0,1.0112997112763749,-36.02388732286468,15.72,5.2,,
74.0,1.0484734666400914,-26.09037321827069,0.0,0.0,,
75.0,1.0190409532259161,-52.91433718450847,38.74,6.1,,
76.0,1.022880833622854,27.522275081920355,22.13,10.7,,
77.0,1.0082702639354195,-50.15913960200471,-0.0,-0.0,,
78.0,0.9818228921145369,-18.56903672883349,0.0,-0.0,,
79.0,1.0143700871515984,14.796442635836904,138.8,136.7,,
80.0,1.068393,-23.94569581316223,0.0,0.0,43.2,18.667948301125023
81.0,1.01092553748404,62.103455530043156,67.76,19.18,,
82.0,1.0323308444410297,-31.392588099455967,22.02,5.1,,
83.0,0.980399611141119,14.563438502055408,0.0,0.0,,
84.0,1.0181038587798663,-23.683293709602975,1.0,0.3,,
85.0,1.022071224608471,20.006791323177968,20.9,3.0,,
86.0,1.0510842213940412,-21.396422795630862,0.0,0.0,,
87.0,1.0178894952061166,-12.71599152006016,21.52,5.1,,
88.0,1.006747158796448,-36.196911419183515,71.98,28.8,,
89.0,0.9910594596777056,-2.1957719984239494,0.0,0.0,,
