branch_n,from_bus_index,to_bus_index,from_bus_inj_p,from_bus_inj_q,to_bus_inj_p,to_bus_inj_q,loss_p,loss_q
1.0,101.0,102.0,7.84,-26.19,-7.84,-24.32,0.002,0.01
2.0,101.0,103.0,-0.58,14.65,0.73,-20.08,0.159,0.61
3.0,101.0,105.0,52.74,0.21,-52.18,-0.55,0.559,2.16
4.0,102.0,104.0,34.94,13.72,-34.5,-15.64,0.441,1.7
5.0,102.0,106.0,43.9,-4.74,-43.02,2.51,0.881,3.38
6.0,103.0,109.0,3.68,-15.56,-3.61,12.48,0.063,0.24
7.0,103.0,124.0,-184.41,-1.36,185.1,30.14,0.685,28.78
8.0,104.0,109.0,-39.5,0.64,39.91,-2.0,0.408,1.57
9.0,105.0,110.0,-18.82,-13.45,18.93,11.25,0.108,0.41
10.0,106.0,110.0,-92.98,-137.09,94.12,-124.54,1.14,4.97
11.0,107.0,108.0,168.71,19.74,-164.51,-5.57,4.193,15.98
12.0,107.0,203.0,61.29,4.77,-59.84,-3.91,1.451,5.56
13.0,108.0,109.0,-10.6,-5.6,10.65,1.1,0.051,0.2
14.0,108.0,110.0,4.11,-23.83,-3.91,19.79,0.199,0.77
15.0,109.0,111.0,-93.72,-30.19,93.91,38.39,0.195,8.2
16.0,109.0,112.0,-128.23,-17.38,128.57,31.54,0.337,14.16
17.0,110.0,111.0,-134.37,19.56,134.71,-5.09,0.345,14.47
18.0,110.0,112.0,-169.77,33.94,170.33,-10.41,0.56,23.53
19.0,111.0,113.0,-156.55,3.54,157.95,-2.98,1.398,11.19
20.0,111.0,114.0,-72.08,-36.85,72.37,29.89,0.295,2.48
21.0,112.0,113.0,-94.16,-23.47,94.69,17.16,0.531,4.25
22.0,112.0,123.0,-204.74,2.33,209.6,15.18,4.857,39.26
23.0,113.0,123.0,-179.7,8.11,183.05,-1.38,3.351,26.5
24.0,113.0,215.0,-117.94,-0.22,119.25,-7.05,1.306,9.79
25.0,114.0,116.0,-266.37,34.31,269.69,-4.05,3.323,39.22
26.0,115.0,116.0,14.59,-23.89,-14.58,20.08,0.013,0.11
27.0,115.0,121.0,-177.03,7.91,178.77,-4.98,1.739,14.2
28.0,115.0,121.0,-177.03,7.91,178.77,-4.98,1.739,14.2
29.0,115.0,124.0,187.47,36.27,-185.1,-30.14,2.377,17.66
30.0,116.0,117.0,-240.85,22.84,242.46,-14.93,1.609,13.94
31.0,116.0,119.0,40.73,21.01,-40.67,-25.87,0.061,0.47
32.0,117.0,118.0,-111.1,2.55,111.33,-4.27,0.225,1.57
33.0,117.0,122.0,-131.35,12.39,133.63,-19.65,2.275,17.06
34.0,118.0,121.0,-44.66,2.36,44.72,-7.95,0.055,0.48
35.0,118.0,121.0,-44.66,2.36,44.72,-7.95,0.055,0.48
36.0,119.0,120.0,-70.16,-5.56,70.39,-1.62,0.228,1.82
37.0,119.0,120.0,-70.16,-5.56,70.39,-1.62,0.228,1.82
38.0,120.0,123.0,-134.39,-11.38,134.89,10.0,0.499,3.66
39.0,120.0,123.0,-134.39,-11.38,134.89,10.0,0.499,3.66
40.0,121.0,122.0,-164.1,22.63,166.37,-21.11,2.274,17.18
41.0,123.0,217.0,7.57,-8.73,-7.57,-8.31,0.005,0.04
42.0,201.0,202.0,5.24,-26.53,-5.23,-24.29,0.001,0.0
43.0,201.0,203.0,-24.84,19.93,25.42,-23.83,0.573,2.2
44.0,201.0,205.0,53.61,6.34,-53.02,-6.57,0.585,2.26
45.0,202.0,204.0,31.49,19.07,-31.06,-21.04,0.428,1.65
46.0,202.0,206.0,44.74,-0.5,-43.83,-1.62,0.911,3.5
47.0,203.0,209.0,38.8,-12.07,-38.31,10.6,0.482,1.85
48.0,203.0,224.0,-184.37,2.82,185.04,25.55,0.675,28.36
49.0,204.0,209.0,-42.94,6.04,43.44,-7.03,0.498,1.92
50.0,205.0,210.0,-17.98,-7.43,18.06,5.14,0.078,0.3
51.0,206.0,210.0,-92.17,-131.96,93.29,-126.64,1.127,4.91
52.0,207.0,208.0,-15.0,13.0,15.07,-14.32,0.071,0.27
53.0,208.0,209.0,-101.32,0.22,106.08,13.59,4.755,18.25
54.0,208.0,210.0,-84.75,-20.9,88.24,29.75,3.489,13.39
55.0,209.0,211.0,-125.38,-35.41,125.73,49.95,0.346,14.54
56.0,209.0,212.0,-160.82,-17.75,161.35,40.17,0.534,22.42
57.0,210.0,211.0,-179.3,15.98,179.91,9.81,0.614,25.79
58.0,210.0,212.0,-215.29,35.77,216.19,2.14,0.902,37.9
59.0,211.0,213.0,-218.99,-13.71,221.72,24.71,2.725,21.8
60.0,211.0,214.0,-86.64,-46.05,87.08,40.21,0.436,3.66
61.0,212.0,213.0,-152.09,-49.66,153.55,50.6,1.454,11.64
62.0,212.0,223.0,-225.45,7.35,231.38,18.84,5.925,47.89
63.0,213.0,223.0,-175.27,24.93,178.46,-19.79,3.187,25.21
64.0,214.0,216.0,-281.08,46.08,284.78,-11.45,3.699,43.65
65.0,215.0,216.0,4.47,-24.58,-4.46,20.73,0.01,0.08
66.0,215.0,221.0,-184.05,11.27,185.93,-7.19,1.882,15.37
67.0,215.0,221.0,-184.05,11.27,185.93,-7.19,1.882,15.37
68.0,215.0,224.0,187.39,31.41,-185.04,-25.55,2.346,17.43
69.0,216.0,217.0,-248.08,24.53,249.78,-15.81,1.704,14.77
70.0,216.0,219.0,22.76,25.99,-22.72,-31.05,0.037,0.28
71.0,217.0,218.0,-110.83,10.66,111.05,-12.38,0.226,1.58
72.0,217.0,222.0,-131.39,13.47,133.67,-20.73,2.278,17.09
73.0,218.0,221.0,-44.53,2.35,44.58,-7.94,0.055,0.47
74.0,218.0,221.0,-44.53,2.35,44.58,-7.94,0.055,0.47
75.0,219.0,220.0,-79.14,-2.97,79.43,-3.73,0.289,2.32
76.0,219.0,220.0,-79.14,-2.97,79.43,-3.73,0.289,2.32
77.0,220.0,223.0,-143.43,-9.27,144.0,8.39,0.567,4.16
78.0,220.0,223.0,-143.43,-9.27,144.0,8.39,0.567,4.16
79.0,221.0,222.0,-164.06,22.62,166.33,-21.11,2.273,17.17
80.0,301.0,302.0,8.64,-27.26,-8.64,-23.56,0.002,0.01
81.0,301.0,303.0,-39.86,35.56,41.4,-35.63,1.54,5.91
82.0,301.0,305.0,27.21,18.68,-26.99,-20.28,0.227,0.88
83.0,302.0,304.0,11.14,30.5,-10.79,-32.75,0.351,1.35
84.0,302.0,306.0,26.5,7.36,-26.14,-11.52,0.366,1.41
85.0,303.0,309.0,26.14,-15.26,-25.87,13.08,0.271,1.04
86.0,303.0,324.0,-247.53,13.89,248.8,39.49,1.271,53.39
87.0,304.0,309.0,-63.21,17.75,64.37,-16.11,1.161,4.47
88.0,305.0,310.0,-44.01,6.28,44.45,-7.17,0.434,1.66
89.0,306.0,310.0,-109.86,-120.44,111.49,-131.32,1.633,7.11
90.0,307.0,308.0,-15.0,12.98,15.07,-14.25,0.072,0.28
91.0,308.0,309.0,-101.87,1.21,106.82,13.44,4.943,18.97
92.0,308.0,310.0,-84.2,-21.96,87.76,31.2,3.563,13.67
93.0,309.0,311.0,-143.49,-35.07,143.94,54.24,0.457,19.18
